score,strategy,total_trades,long_trades,short_trades,wins,win_rate,profit_factor,total_pnl_pct,max_drawdown_pct,sharpe_ratio,avg_win_pct,avg_loss_pct,avg_bars_held,buy_hold_pct,train_pnl,test_pnl,train_wr,test_wr,train_trades,test_trades,p,params
0.2862,momentum,141,75,66,63,44.68,1.0947,3.9127,5.477,0.6302,0.7176,-0.5295,11.0,9.336219859055417,-0.7242,4.637,44.62,44.74,65,76,"{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.2862,momentum,141,75,66,63,44.68,1.0947,3.9127,5.477,0.6302,0.7176,-0.5295,11.0,9.336219859055417,-0.7242,4.637,44.62,44.74,65,76,"{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
0.268,momentum,138,73,65,61,44.2,1.0502,2.0589,5.477,0.345,0.7056,-0.5323,10.7,9.336219859055417,-1.9713,4.0301,43.75,44.59,64,74,"{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.268,momentum,138,73,65,61,44.2,1.0502,2.0589,5.477,0.345,0.7056,-0.5323,10.7,9.336219859055417,-1.9713,4.0301,43.75,44.59,64,74,"{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (30, 60), 'rsi_s': (45, 75), 'sl_m': 1.5, 'tp_m': 2.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
0.0,momentum,240,29,211,81,33.75,0.7051,-13.864,13.0885,-1.9115,0.4092,-0.2957,3.6,9.336219859055417,-9.0615,-4.8025,31.93,35.54,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.0,momentum,240,29,211,81,33.75,0.7051,-13.864,13.0885,-1.9115,0.4092,-0.2957,3.6,9.336219859055417,-9.0615,-4.8025,31.93,35.54,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
0.0,momentum,240,29,211,60,25.0,0.7487,-8.4527,8.3826,-1.3942,0.4198,-0.1869,2.6,9.336219859055417,-4.494,-3.9587,22.69,27.27,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}"
0.0,momentum,240,29,211,79,32.92,0.7795,-7.1387,8.0422,-1.1915,0.3194,-0.2011,2.5,9.336219859055417,-2.9782,-4.1605,31.93,33.88,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}"
0.0,momentum,240,29,211,72,30.0,0.7043,-12.3724,11.7651,-1.8159,0.4093,-0.2491,3.2,9.336219859055417,-8.2213,-4.1511,28.57,31.4,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}"
0.0,momentum,240,29,211,93,38.75,0.7449,-10.3698,9.9786,-1.527,0.3256,-0.2765,3.1,9.336219859055417,-7.3221,-3.0477,35.29,42.15,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}"
